"Pueblo"	"2005-2006"	"2006-2007"	"2007-2008"	"2008-2009"	"2009-2010"	"2010-2011"	"2011-2012"	"2012-2013"	"2013-2014"	"2014-2015"	"2015-2016"	"2016-2017"
"SAN LUIS DE GACENO"	343.02211	338.66494	341.75982	329.09754	328.21346	319.86898	304.50316	295.45356	292.95642	258.69700	255.08700	248.78300
"SANTA MARIA"	266.35836	267.65989	274.37852	268.48974	262.65771	254.49925	258.80279	269.42244	255.17129	155.00300	152.05800	146.97400
"CAMPOHERMOSO"	276.05700	253.18936	253.99810	257.96883	260.01748	262.11761	265.74940	262.00177	264.08045	134.38100	126.87600	124.19500
"MACANAL"	201.20781	189.84451	178.36371	173.50858	178.51915	173.92582	176.88733	175.40830	169.82479	71.01320	61.70920	66.24870
"GARAGOA"	232.51748	223.78686	222.87901	212.12694	213.71992	214.31808	194.24062	202.68213	196.44894	57.02360	55.51530	55.41410
"SOMONDOCO"	94.81222	99.60498	92.34052	98.37865	90.33508	92.02202	81.49651	86.98576	80.41426	45.31740	46.51760	49.31700
"CHIVOR"	87.11083	93.13410	82.94691	84.77072	84.59635	76.07476	87.98879	81.41502	89.23251	46.60460	49.13080	45.76220
"CHINAVITA"	101.63269	99.70546	94.24339	90.18803	86.63326	85.49668	83.81690	76.34855	74.54504	48.53400	47.96920	43.94870
"ALMEIDA"	78.06977	74.51748	69.55484	73.55817	68.73899	64.14153	65.39497	60.07816	60.46609	38.62070	40.48320	38.02710
"GUAYATA"	121.14330	102.45732	104.75605	99.14907	92.73701	87.81886	87.02862	74.39922	79.99056	43.64280	38.66180	34.80000
"RAMIRIQUI"	44.22045	42.23686	42.49740	39.99137	39.85812	39.09952	37.82335	38.67918	39.96375	28.42390	24.99350	25.99130
"UMBITA"	111.09321	123.72426	112.91261	86.77830	94.89869	100.08037	91.04544	86.15104	81.29609	24.29340	21.30170	19.88030
"TIBANA"	22.14616	23.53962	23.62627	22.99901	21.65979	19.16031	27.58966	18.89014	20.56906	16.89850	15.49730	16.44600
"PACHAVITA"	37.13997	31.46792	30.46323	28.86010	29.08193	26.99880	23.00161	21.38047	20.77598	12.17130	12.52650	14.61440
"VENTAQUEMADA"	24.69502	20.18440	21.20000	22.56139	18.47689	18.20825	19.63572	19.38078	16.33756	12.42960	10.57730	10.35590
"VIRACACHA"	11.14003	9.18350	8.45809	9.51887	8.76821	8.97393	9.18019	6.86992	7.11725	8.39635	7.49355	7.94497
"LA CAPILLA"	33.74171	29.71977	37.23221	21.97811	22.68828	33.15984	23.13444	30.25108	31.41456	6.86237	7.47851	6.68371
"CIENEGA"	7.70999	11.87643	9.87031	11.55891	11.96115	11.90107	13.07049	11.99186	10.80979	8.48746	6.77213	6.22137
"NUEVO COLON"	10.19346	10.39711	12.23221	10.39731	8.76630	7.74693	11.00903	10.19351	8.15415	6.68775	5.63342	5.80192
"TENZA"	21.20227	32.96786	26.65584	31.54109	24.89977	29.05351	24.86208	25.75961	20.47797	6.95540	6.08638	5.68930
"TURMEQUE"	20.27152	9.90974	14.59562	17.02805	8.10861	7.29782	10.48094	10.54721	9.73050	5.09372	4.37520	4.19965
"JENESANO"	8.90965	10.17590	4.50750	7.29372	1.50243	1.50253	1.79756	1.50254	5.05818	2.20427	1.80838	2.24898
"BOYACA"	4.09855	1.75653	4.09856	2.92754	468.41010	1.75649	2.34203	3.51309	3.51310	1.52041	1.89585	1.71617
"SUTATENZA"	4.12786	4.91320	5.36670	6.18962	3.31332	4.29303	3.44182	3.83266	3.65178	1.55164	1.50141	1.44682
"GUATEQUE"	8.95307	9.20883	7.41803	6.13926	5.80636	4.69137	5.11602	5.08011	3.83696	0.61122	0.36133	0.54199
